image_lien,label,family,phylum,species,canonicalName,class,genus,order,width,height,red_color_mean,green_color_mean,blue_color_mean,all_color_mean
66.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,240,57.9373828125,53.07598958333333,34.817408854166665,48.61026041666667
67.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,240,320,82.57434895833333,76.17276041666666,46.4703515625,68.4058203125
68.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,240,91.41592447916666,82.57092447916666,51.7762109375,75.25435329861111
175.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,320,240,34.02153645833334,27.333216145833333,18.443151041666667,26.59930121527778
178.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,110.67151041666666,104.71557291666667,91.07786458333334,102.1549826388889
179.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,95.69552083333332,84.084296875,64.841328125,81.54038194444445
180.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,240,320,71.2079296875,71.90817708333333,58.4953515625,67.20381944444443
181.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,55.414479166666666,52.87618489583333,47.2526171875,51.84776041666667
182.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,40.9509375,40.164453125,35.4302734375,38.848554687500005
183.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,74.94313802083333,52.5356640625,45.305546875,57.59478298611111
286.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,240,320,71.49829427083333,70.63174479166666,51.169375,64.43313802083333
287.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,240,320,67.593203125,69.60540364583333,50.76096354166667,62.65319010416668
289.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,240,82.05930989583334,70.3112109375,48.9803515625,67.11695746527778
290.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,240,320,86.10614583333333,84.77778645833334,54.6604296875,75.18145399305556
291.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,240,320,67.60912760416667,67.84799479166666,48.003658854166666,61.15359375
292.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,240,320,68.7742578125,69.72489583333333,55.963307291666666,64.8208203125
348.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,44.01470052083334,37.37915364583333,21.444088541666662,34.27931423611111
349.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,90.06721354166666,66.11046875,22.35298177083333,59.51022135416667
430.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,79.21145833333334,73.1121875,64.3862890625,72.23664496527778
431.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,51.396822916666665,40.09973958333333,30.825611979166663,40.77405815972222
432.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,78.57990885416666,56.35963541666667,35.784479166666664,56.9080078125
433.jpg,Galerina marginata,Cortinariaceae,Basidiomycota,Galerina marginata,Galerina marginata,Agaricomycetes,Galerina,Agaricales,240,320,114.54950520833331,94.9823828125,47.847994791666665,85.79329427083333
576.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,240,320,54.2507421875,47.7715625,37.6936328125,46.571979166666665
577.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,240,320,42.68471354166667,35.86611979166667,26.275924479166665,34.94225260416667
578.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,120.06983072916668,108.332109375,98.01157552083332,108.80450520833334
581.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,74.62096354166667,53.77649739583333,28.813307291666668,52.40358940972222
721.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,77.06087239583333,65.81731770833333,56.211223958333335,66.36313802083333
728.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,320,240,168.9933203125,140.8196484375,123.00911458333331,144.27402777777775
288.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,240,68.67709635416666,69.181640625,56.6065234375,64.82175347222223
250.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,240,77.40483072916666,69.83328125,64.9094140625,70.71584201388889
787.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,107.115390625,83.43614583333333,73.68234375,88.07796006944443
797.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,102.65946614583332,108.05326822916666,88.43044270833333,99.71439236111112
807.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,259,122.76896718146718,106.76604729729728,94.74361727799229,108.09287725225224
808.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,89.07602864583333,82.54045572916667,67.87946614583333,79.83198350694444
832.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,96.23272135416669,82.84611979166667,79.27661458333333,86.11848524305556
833.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,140.97501302083333,117.5233203125,107.138203125,121.87884548611112
844.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,240,166.907734375,141.5869921875,88.60134114583333,132.36535590277776
887.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,240,86.48268229166666,86.93889322916667,93.60442708333332,89.00866753472222
928.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,299,320,209.4097408026756,199.4523933946488,187.3429870401337,198.73504041248603
929.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,294,320,193.7420386904762,188.72268282312925,175.6316220238095,186.03211451247168
945.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,274,320,227.39828923357663,221.89588275547445,205.7244525547445,218.3395415145985
963.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,121.04282552083332,90.95716145833332,76.76829427083334,96.25609375
966.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,169.77467447916666,154.87401041666666,147.88251302083333,157.51039930555555
967.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,92.34783854166666,89.72760416666667,81.21154947916666,87.76233072916666
1001.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,113.48587239583334,110.4665625,104.98342447916669,109.64528645833332
1003.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,240,101.85720052083332,92.17373697916666,83.00134114583334,92.34409288194443
1009.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,74.3056640625,70.41091145833333,67.88135416666667,70.8659765625
1058.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,76.57623697916667,68.849765625,51.8009375,65.74231336805556
1061.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,82.3123828125,65.534765625,57.44346354166667,68.43020399305556
1066.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,111.03165364583332,116.39201822916668,94.71220052083332,107.37862413194443
1067.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,320,240,108.37415364583332,86.8929296875,65.63977864583333,86.96895399305556
1073.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,240,119.55171875,88.45330729166666,71.98833333333333,93.33111979166668
1103.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,119.7169921875,105.93162760416666,99.280078125,108.30956597222222
1104.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,115.76083333333334,93.90938802083332,86.92755208333334,98.86592447916668
4636.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,283,320,103.80767446996468,99.04633392226148,90.92859982332156,97.92753607184925
4825.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,275,111.26123863636364,105.0213068181818,95.60469318181818,103.96241287878787
5292.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,240,320,87.87552083333334,76.5070703125,66.12186197916667,76.83481770833333
5522.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,240,320,120.27515625,103.24341145833333,89.02430989583333,104.18095920138887
5523.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,239,99.4506929916318,85.2881929916318,76.35823744769874,87.03237447698746
6093.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,121.28877604166668,103.8794140625,91.73467447916669,105.63428819444444
6233.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,254,320,107.57589812992126,98.2566313976378,96.16611712598426,100.6662155511811
1190.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,320,74.735283203125,77.62330078125,70.880341796875,74.41297526041667
1191.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,224,217.57272600446427,213.3332868303572,195.46275111607144,208.78958798363087
1235.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,119.4512109375,96.59305989583332,89.15997395833334,101.73474826388887
1245.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,59.5087109375,51.30686197916667,29.69239583333333,46.83598958333334
1246.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,320,240,54.3238671875,45.168033854166666,28.67122395833333,42.72104166666667
1309.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,94.295625,91.66877604166666,80.48079427083333,88.81506510416666
1310.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,222,117.18355855855856,114.5731981981982,113.93295326576576,115.22990334084083
1390.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,240,320,90.52067708333334,61.06328125,29.053098958333333,60.21235243055555
1391.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,240,320,88.59704427083334,64.71848958333334,39.669283854166665,64.32827256944445
